"id","Latitude","Longitude","Unique_Squirrel_ID","Date","Age","Shift","Primary_Fur_Color","Location","Specific_Location","Other_Activities","Running","Chasing","Climbing","Eating","Foraging","Kuks","Quaas","Moans","Tail_flags","Tail_twitches","Approaches","Indifferent","Runs_from"
"15168","40.775389733191800","-73.975697607670700","10A-PM-1014-01","2018-10-14","Adult","PM","Gray","Ground Plane","in b/w trees","","False","False","False","False","True","False","False","False","False","True","False","True","False"
"15169","40.789038180944100","-73.966243899668100","28A-PM-1007-05","2018-10-07","Adult","PM","Cinnamon","Ground Plane","","","True","False","False","False","True","False","False","False","False","True","False","False","True"
"15170","40.782081851695700","-73.964315392042800","22F-PM-1014-05","2018-10-14","Adult","PM","Gray","Ground Plane","","","False","False","False","False","False","False","False","False","False","False","False","False","False"
"15171","40.775795738046300","-73.974207345291300","12B-AM-1007-01","2018-10-07","Adult","AM","Gray","Ground Plane","","","False","True","False","False","False","False","False","False","True","False","False","True","False"
"15172","40.781391103617900","-73.971614706155300","18A-PM-1018-01","2018-10-18","Adult","PM","Gray","Above Ground","","","False","False","True","False","False","False","False","False","False","False","False","False","False"
"15173","40.792871176006100","-73.953541065707700","36H-PM-1008-02","2018-10-08","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15174","40.789177463798800","-73.963915929844600","29C-AM-1007-06","2018-10-07","Adult","AM","Gray","Ground Plane","","","True","False","False","False","False","False","False","False","False","False","False","False","True"
"15175","40.795933779502700","-73.957956433862700","38C-PM-1014-09","2018-10-14","Adult","PM","Black","Ground Plane","","","False","False","False","True","False","False","False","False","False","False","True","False","False"
"15176","40.789250842862200","-73.957464809754300","31H-PM-1008-02","2018-10-08","Juvenile","PM","Gray","Above Ground","","","True","False","True","False","False","False","False","False","False","True","False","True","False"
"15177","40.770599958822200","-73.970252675331000","8H-AM-1017-06","2018-10-17","Adult","AM","Gray","Above Ground","","","False","True","False","True","False","False","False","False","False","False","False","True","False"
"15178","40.791861349840700","-73.957964594041400","34F-AM-1007-01","2018-10-07","Adult","AM","Gray","Above Ground","","","True","False","True","False","False","False","False","False","False","False","False","False","True"
"15179","40.774950525298100","-73.967325341730500","13H-PM-1010-02","2018-10-10","Adult","PM","Gray","Above Ground","tree","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15180","40.782030982544800","-73.964003282652900","22F-PM-1014-06","2018-10-14","Adult","PM","Gray","Ground Plane","","","True","False","False","False","False","False","False","False","False","True","False","True","False"
"15181","40.790584733236900","-73.959593319540900","32E-AM-1007-13","2018-10-07","Adult","AM","Gray","Above Ground","","","False","False","True","False","False","False","False","False","False","False","False","False","False"
